CID,Compound_Name,SMILES,Flavor_Description,Source
11968627,andrographidin b,COC1=C(C2=C(C(=C1)O)C(=O)C=C(O2)C3=C(C(=CC=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)OC,sweet,FlavorDB
11968628,3-(4-hydroxy-3-methoxyphenyl)-5-hydroxy-7-[6-o-(beta-d-glucopyranosyl)-beta-d-glucopyranosyloxy]-6-methoxy-4h-1-benzopyran-4-one,COC1=C(C=CC(=C1)C2=COC3=CC(=C(C(=C3C2=O)O)OC)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O)O)O)O,sweet,FlavorDB
11968629,iristectorin a,COC1=C(C=C(C=C1)C2=COC3=CC(=C(C(=C3C2=O)O)OC)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,sweet,FlavorDB
11968638,alpha-isomaltose,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@H](O2)O)O)O)O)O)O)O)O,sweet,FlavorDB
11968669,"(2S,3S,4S,5R,6R)-6-[[(3S,6aR,8aR,9R,14bR)-9-hydroxy-4,4,6a,6b,8a,11,11,14b-octamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-5-[(2S,3R,4S,5R,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-3,4-dihydroxyoxane-2-carboxylic acid",C[C@H]1[C@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@H]([C@H](O[C@H]2O[C@@H]3[C@H]([C@@H]([C@H](O[C@H]3O[C@H]4CC[C@]5(C(C4(C)C)CC[C@@]6(C5CC=C7C6(CC[C@@]8(C7CC(C[C@H]8O)(C)C)C)C)C)C)C(=O)O)O)O)CO)O)O)O)O)O,sweet,FlavorDB
11968700,"(2S,3S,4S,5R,6R)-6-[(2R,3R,4S,5S,6S)-2-[[(3S,4S,6aR,8aS,11S,14bS)-11-carboxy-4-(hydroxymethyl)-4,6a,6b,8a,11,14b-hexamethyl-14-oxo-2,3,4a,5,6,7,8,9,10,12,12a,14a-dodecahydro-1H-picen-3-yl]oxy]-6-carboxy-4,5-dihydroxyoxan-3-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid",C[C@]12CC[C@](CC1C3=CC(=O)C4[C@]5(CC[C@@H]([C@](C5CC[C@]4(C3(CC2)C)C)(C)CO)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)O)O)O)O)C)(C)C(=O)O,sweet,FlavorDB
11968701,"(2S,3S,4S,5R,6R)-6-[(2R,3R,4S,5S,6S)-2-[[(3S,6aR,8aS,11R,14bS)-11-carboxy-4,4,6a,6b,8a,11,14b-heptamethyl-14-oxo-2,3,4a,5,6,7,8,9,10,12,12a,14a-dodecahydro-1H-picen-3-yl]oxy]-6-carboxy-4,5-dihydroxyoxan-3-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid",C[C@]12CC[C@@](CC1C3=CC(=O)C4[C@]5(CC[C@@H](C(C5CC[C@]4(C3(CC2)C)C)(C)C)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)O)O)O)O)C)(C)C(=O)O,sweet,FlavorDB
11968745,"(2S,4aS,6bR,12aS)-10-[(2R,3R,4S,5S,6S)-6-butoxycarbonyl-4,5-dihydroxy-3-[(2R,3R,4S,5S,6S)-3,4,5-trihydroxy-6-methoxycarbonyloxan-2-yl]oxyoxan-2-yl]oxy-2,4a,6a,6b,9,9,12a-heptamethyl-13-oxo-3,4,5,6,6a,7,8,8a,10,11,12,14b-dodecahydro-1H-picene-2-carboxylic acid",CCCCOC(=O)[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)OC2CC[C@]3(C(C2(C)C)CC[C@@]4(C3C(=O)C=C5C4(CC[C@@]6(C5C[C@@](CC6)(C)C(=O)O)C)C)C)C)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)OC)O)O)O)O)O,sweet,FlavorDB
11968764,"(2S,3S,4R,5R,6R)-6-[[(3S,4aR,6aR,6bS,8aS,14aR,14bR)-4,4,6a,6b,11,11,14b-heptamethyl-8a-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycarbonyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-3-[(2S,3R,4R,5S)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxy-4,5-dihydroxyoxane-2-carboxylic acid",C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5(C4CC(CC5)(C)C)C(=O)O[C@H]6[C@@H]([C@H]([C@H]([C@H](O6)CO)O)O)O)C)C)(C)C)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)O)O[C@H]8[C@@H]([C@H]([C@@H](O8)CO)O)O)O)O,sweet,FlavorDB
11968816,"(10R,13S)-3-[(2R,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-10,13-dimethyl-17-[1-[5-methyl-6-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]ethyl]-1,2,3,4,5,7,8,9,11,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-6-one",C[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3CC[C@@]4(C5CC[C@]6(C(C5CC(=O)C4C3)CCC6C(C)C7CCC(C(O7)O[C@@H]8[C@@H]([C@@H]([C@H]([C@@H](O8)C)O)O)O)C)C)C)CO)O)O)O)O)O,sweet,FlavorDB
11968881,"quercetin 7,4'-diglucoside",C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O,sweet,FlavorDB
11968889,"[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] (1R,5R,13S)-13-[(2S,3R,4S,5R,6R)-5-hydroxy-6-(hydroxymethyl)-4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxyoxan-2-yl]oxy-5,9-dimethyl-14-methylidenetetracyclo[11.2.1.01,10.04,9]hexadecane-5-carboxylate",C[C@]1(CCCC2(C1CC[C@]34C2CC[C@](C3)(C(=C)C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H](CO7)O)O)O)C)C(=O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O,sweet,FlavorDB
11968890,dihydro-quercitrin,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O,sweet,FlavorDB
11968946,"5,6-dihydroxy-2-(4-hydroxyphenyl)-7-[(2S,3R,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxychromen-4-one",C[C@H]1[C@H]([C@H]([C@H]([C@@H](O1)OC2=C(C(=C3C(=C2)OC(=CC3=O)C4=CC=C(C=C4)O)O)O)O)O)O,sweet,FlavorDB
11968949,"(2S,3S,4S,5R,6R)-6-[[(3S,4R,6aR,8aS,14bR)-8a-carboxy-4-(hydroxymethyl)-4,6a,6b,11,11,14b-hexamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-3,5-dihydroxy-4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxane-2-carboxylic acid",C[C@]12CC[C@@H]([C@@](C1CC[C@@]3(C2CC=C4C3(CC[C@@]5(C4CC(CC5)(C)C)C(=O)O)C)C)(C)CO)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)O,sweet,FlavorDB
11968958,"[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] (1R,4S,9S,10R,13S)-13-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-5,9-dimethyl-14-methylidenetetracyclo[11.2.1.01,10.04,9]hexadecane-5-carboxylate",C[C@@]12CCCC([C@H]1CC[C@]34[C@H]2CC[C@](C3)(C(=C)C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)(C)C(=O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O,sweet,FlavorDB
11968965,"5,7-dihydroxy-2-(4-hydroxy-3,5-dimethoxyphenyl)-3-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxychromen-4-one",C[C@H]1[C@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C(=C5)OC)O)OC)O)O)O)O)O)O,sweet,FlavorDB
11968967,"butyl (2S,3S,4S,5R,6R)-6-[[4,4,6a,6b,11,11,14b-heptamethyl-8a-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycarbonyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-3-hydroxy-4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-5-[(2R,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxyoxane-2-carboxylate",CCCCOC(=O)[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)OC2CCC3(C(C2(C)C)CCC4(C3CC=C5C4(CCC6(C5CC(CC6)(C)C)C(=O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)C)C)C)O[C@@H]8[C@@H]([C@H]([C@@H](CO8)O)O)O)O[C@H]9[C@@H]([C@H]([C@@H]([C@H](O9)CO)O)O)O)O,sweet,FlavorDB
11968999,schembl2351292,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OC2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O)O)O)O,sweet,FlavorDB
11969000,schembl2350559,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O)O)O)O,sweet,FlavorDB
11969463,nsc232045,CC(=O)OCC1C(C(C(C(O1)O[C@@]23CC[C@H]4[C@@]5(CCC[C@@]([C@H]5CCC4(C2)CC3=C)(C)C(=O)O)C)OC6C(C(C(C(O6)COC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C,sweet,FlavorDB
11969488,jasmolactone,CC/C=C/CCC1CCCC(=O)O1,fruity,FlavorDB
11970126,schembl16349810,C(C1C([C@@H]([C@@H]([C@H](O1)O)O)O)O)O,sweet,FlavorDB
11970252,schembl13657753,C([C@H]1[C@H](C(C([C@@H](O1)O)O)O)O[C@H]2C([C@H]([C@@H](C(O2)CO)O)O)O)O,sweet,FlavorDB
11972310,"5-hydroxy-6,7-dimethoxy-2-[3-methoxy-4-[(2R,3S,4R,5R,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]chromen-4-one",COC1=C(C=CC(=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC)OC)O)O[C@@H]4[C@H]([C@@H]([C@H]([C@@H](O4)CO)O)O)O,sweet,FlavorDB
11972311,"5-hydroxy-2-[3-hydroxy-4-[(2R,3S,4R,5R,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]-6,7-dimethoxychromen-4-one",COC1=C(C(=C2C(=C1)OC(=CC2=O)C3=CC(=C(C=C3)O[C@@H]4[C@H]([C@@H]([C@H]([C@@H](O4)CO)O)O)O)O)O)OC,sweet,FlavorDB
11972335,"8-hydroxy-7-methoxy-2-(4-methoxyphenyl)-6-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxychromen-4-one",C[C@H]1[C@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(C(=C4C(=C3)C(=O)C=C(O4)C5=CC=C(C=C5)OC)O)OC)O)O)O)O)O)O,sweet,FlavorDB
11972339,linaroside,COC1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)OC)O,sweet,FlavorDB
11972355,"1-o-gentiobiosyl-3,7-dimethoxy-8-hydroxyxanthone",COC1=C(C2=C(C=C1)OC3=C(C2=O)C(=CC(=C3)OC)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O)O)O)O,sweet,FlavorDB
11972372,"5-hydroxy-6,7-dimethoxy-2-(4-methoxyphenyl)-8-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",COC1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C(=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)OC)OC)O,sweet,FlavorDB
11972428,"(3R,4S,5S,6R)-2-[(2S,3S,4S,5R)-2-[[(2S,3R,4R,5S)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO[C@@]3([C@@H]([C@H]([C@@H](O3)CO)O)O)CO)O)O)O)O,sweet,FlavorDB
11972443,"2-(3,4-dihydroxyphenyl)-5-hydroxy-7-[(2S,3R,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy-3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxychromen-4-one",C[C@H]1[C@H]([C@H]([C@H]([C@@H](O1)OC2=CC(=C3C(=C2)OC(=C(C3=O)O[C@@H]4[C@@H]([C@@H]([C@H]([C@@H](O4)C)O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O,sweet,FlavorDB
11972444,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2R,3S,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxychromen-4-one",C[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O,sweet,FlavorDB
11972472,"5,7-dihydroxy-6-methoxy-4'-(6-o-beta-d-glucopyranosyl-beta-d-glucopyranosyloxy)isoflavone",COC1=C(C2=C(C=C1O)OC=C(C2=O)C3=CC=C(C=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O)O)O)O,sweet,FlavorDB
11974512,n-(azidoacetyl)-l-phenylalanine methyl ester,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)CN=[N+]=[N-],sweet,FlavorDB
11975273,"(e,e,e,e)-squalene",CC(=CCC/C(=C/CC/C(=C/CC/C=C(\C)/CC/C=C(/C)\CCC=C(C)C)/C)/C)C,agreeable; floral,FlavorDB
11975469,methyl (2S)-2-(4-oxopentanoylamino)-3-phenylpropanoate,CC(=O)CCC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)OC,sweet,FlavorDB
11979046,"wurcs=2.0/2,3,2/[a2122h-1a_1-5][a2112h-1b_1-5]/1-2-2/a4-b1_b4-c1",C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O)CO)CO)O)O)O)O,sweet,FlavorDB
11980855,"(2R,3R,4S,5S,6R)-2-[(2R,4R,5R,6R)-6-[(2S,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-4,5-dihydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OC2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@]3([C@H]([C@@H]([C@H](O3)CO)O)O)CO)CO)O)O)O)O,sweet,FlavorDB
11983554,"(2R,3S,4R,5S,6R)-2-[(2R,4R,5R,6R)-4,5-dihydroxy-2-(hydroxymethyl)-6-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@@H]([C@H](C([C@H](O2)CO)O[C@@H]3[C@H]([C@@H]([C@@H]([C@H](O3)CO)O)O)O)O)O)O)O)O)O,sweet,FlavorDB
11987778,(+-)-ethyl 3-hydroxy-2-methylbutyrate,CCC(CC)(/C=C/CC[C@@H](C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C)O,green;fruity,FlavorDB
11987845,"[(3S,5R)-5-(6-aminopurin-9-yl)-3-hydroxyoxolan-2-yl]methyl dihydrogen phosphate",C1[C@@H](C(O[C@H]1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)O)O,sweet,FlavorDB
11990295,d-xylo-4-hexosulose,C([C@H](C(=O)[C@@H]([C@H](C=O)O)O)O)O,sweet,FlavorDB
11992452,schembl61396,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)OC4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,bitter,FlavorDB
11995713,"(2S,3S,4S,5R,6R)-6-[[(6aR,6bS,8aS,12aR,14aR,14bR)-4,4,6a,6b,14b-pentamethyl-11-methylidene-8a-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycarbonyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-3,4,5-trihydroxyoxane-2-carboxylic acid",C[C@]12CCC(C(C1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@@H]4CC(=C)CC5)C(=O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C)C)(C)C)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)O)O)O)O,sweet,FlavorDB
11995714,"(2S,3S,4S,5R,6R)-6-[[(6aR,6bS,8aS,12aR,14aR,14bR)-8a-carboxy-4,4,6a,6b,14b-pentamethyl-11-methylidene-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-3,5-dihydroxy-4-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxyoxane-2-carboxylic acid",C[C@]12CCC(C(C1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@@H]4CC(=C)CC5)C(=O)O)C)C)(C)C)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O[C@H]7[C@@H]([C@H]([C@@H](CO7)O)O)O)O,sweet,FlavorDB
11997923,"(2S,3S,4S,5R,6R)-6-[[(6aR,6bS,8aS,12aR,14aR,14bR)-8a-carboxy-4-(hydroxymethyl)-4,6a,6b,14b-tetramethyl-11-methylidene-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-3,4,5-trihydroxyoxane-2-carboxylic acid",C[C@]12CCC(C(C1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@@H]4CC(=C)CC5)C(=O)O)C)C)(C)CO)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O)O,sweet,FlavorDB
11997924,"(2S,3S,4S,5R,6R)-6-[[(3S,4R,4aR,6aR,6bS,8aS,12aS,14bR)-4-(hydroxymethyl)-4,6a,6b,14b-tetramethyl-11-methylidene-8a-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycarbonyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-3,4,5-trihydroxyoxane-2-carboxylic acid",C[C@]12CC[C@@H]([C@@]([C@@H]1CC[C@@]3(C2CC=C4[C@]3(CC[C@@]5([C@H]4CC(=C)CC5)C(=O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C)C)(C)CO)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)O)O)O)O,sweet,FlavorDB
12000178,"2-(phenylseleno)-2,3-dihydro-3-oxo-1,2-benzoisothiazole 1,1-dioxide",C1=CC=C(C=C1)[Se]N2C(=O)C3=CC=CC=C3S2(=O)=O,sweet,FlavorDB
12003173,5-hydroxyhexyl beta-d-glucopyranoside,CC(CCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O,sweet,FlavorDB
12003287,l-galactopyranose,C([C@H]1[C@H]([C@H]([C@@H](C(O1)O)O)O)O)O,sweet,FlavorDB
12004532,schembl62444,COC1=C(C=C2C(=C1)C(=O)C(=CO2)C3=CC=C(C=C3)O)OC4C(C(C(C(O4)CO)O)O)O,sweet,FlavorDB
12009644,"adenosine, 8-amino-",C1=NC(=C2C(=N1)N(C(=N2)N)[C@H]3[C@@H]([C@H]([C@H](O3)CO)O)O)N,sweet,FlavorDB
12009861,unii-7qsj4t5u48,CCCC[C@@H](CCOC)S,savory,FlavorDB
12051505,95672-95-0,CC1=CC(=O)[C@@H](CC1)[C@@](C)(CCC=C(C)C)O,sweet,FlavorDB
12054511,zinc11677077,C[C@@H](C(=O)NC1C(SC1(C)C)(C)C)NC(=O)[C@@H](CC(=O)O)N,sweet,FlavorDB
12065179,schembl5133545,C1=NC2=C(N=C(N=C2N1[C@H]3[C@H]([C@H]([C@H](O3)CO)O)O)N)N,sweet,FlavorDB
12070150,"(2S,3S,4S,5R,6R)-6-[(2R,3S,4R,5R,6R)-2-[[(3S,4aR,6aR,6bS,8aS,11S,12aR,14aR,14bS)-11-carboxy-4,4,6a,6b,8a,11,14b-heptamethyl-14-oxo-2,3,4a,5,6,7,8,9,10,12,12a,14a-dodecahydro-1H-picen-3-yl]oxy]-6-carboxy-4,5-dihydroxyoxan-3-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid",C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@H]6[C@H]([C@@H]([C@H]([C@@H](O6)C(=O)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)O)O)O)O)C)(C)C(=O)O,sweet,FlavorDB
12071879,"adenosin-3',5'-monophosphat",C1[C@@H]2[C@@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O1)O,sweet,FlavorDB
12082513,"wurcs=2.0/1,1,0/[a2212h-1x_1-4]/1/",C([C@H]([C@H]1[C@H]([C@H](C(O1)O)O)O)O)O,sweet,FlavorDB
12085442,"[(2R,3S,4R,5R,6R)-6-[(2R,3S,4S,5S)-2,5-bis(chloromethyl)-3,4-dihydroxyoxolan-2-yl]oxy-3-chloro-4,5-dihydroxyoxan-2-yl]methyl acetate",CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CCl)O)O)CCl)O)O)Cl,sweet,FlavorDB
12088155,schembl14415258,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H](CO4)O)O)O)O,sweet,FlavorDB
12091582,hexofuranose,C(C(C1C(C(C(O1)O)O)O)O)O,sweet,FlavorDB
12125606,schembl7141222,CC(C)(C)CCN([C@@H](CC1=CC=CC=C1)C(=O)OC)C(=O)[C@H](CC(=O)O)N,sweet,FlavorDB
12128377,29083-18-9,C1=CC2=C(C=C1F)C(=O)NS2(=O)=O,sweet,FlavorDB
12133246,schembl4546151,C1[C@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)O)O,sweet,FlavorDB
12134740,"methyl (3S)-3-(3,3-dimethylbutylamino)-4-[[(2S)-1-methoxy-1-oxo-3-phenylpropan-2-yl]amino]-4-oxobutanoate",CC(C)(C)CCN[C@@H](CC(=O)OC)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)OC,sweet,FlavorDB
12163610,zinc3201893,C1=NC(=C2C(=N1)N(C=N2)[C@@H]3[C@H]([C@@H]([C@@H](O3)COP(=O)(O)O)O)O)N,sweet,FlavorDB
12163612,zinc3871614,C1=NC(=C2C(=N1)N(C=N2)[C@@H]3[C@H]([C@@H]([C@@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,sweet,FlavorDB
12163807,chembl320214,CO[C@H]1C(C(C(C(O1)CO)O)O)O,sweet,FlavorDB
12193653,70849-29-5,C([C@@H]1[C@@H]([C@@H]([C@@H]([13CH](O1)O)O)O)O)O,sweet,FlavorDB
12193862,saccharin potassium,C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[K+],sweet,FlavorDB
12216200,(z)-4-methyl-2-pentenoic acid,CC(C)/C=C\C(=O)O,black;tea;fruity;fatty,FlavorDB
12245515,methyl altropyranoside,CO[C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)CO)O)O)O,sweet,FlavorDB
12245518,methyl beta-d-allopyranoside,CO[C@H]1[C@@H]([C@@H]([C@@H]([C@H](O1)CO)O)O)O,sweet,FlavorDB
